acid_id,smiles,mw,n_heavy,n_rot,subclass,murcko_scaffold
Ac1079,O=C(O)c1cc(F)c(Br)cc1[N+](=O)[O-],264.006,14,2,benzoic,c1ccccc1
Ac1080,O=C(O)c1ccc(I)nc1,249.007,10,1,aryl_other,c1ccncc1
Ac1081,O=C(O)c1sc2ccccc2c1Br,257.108,13,1,heteroaryl,c1ccc2sccc2c1
Ac1082,Cc1nn(-c2ccccc2)c(C)c1C(=O)O,216.24,16,2,aryl_other,c1ccc(-n2cccn2)cc1
Ac1084,O=C(O)CC(Br)C(=O)c1ccc(Cl)cc1,291.528,15,4,acyclic_ali,c1ccccc1
Ac1088,O=C(O)c1c(Cl)cccc1I,282.464,11,1,benzoic,c1ccccc1
Ac1090,O=C(O)COc1ccc(C(=O)c2ccccc2)cc1,256.257,19,5,acyclic_ali,O=C(c1ccccc1)c1ccccc1
Ac1092,COc1ccc(Br)cc1CC(=O)O,245.072,13,3,acyclic_ali,c1ccccc1
Ac1093,COc1cc(C(=O)O)ccc1I,278.045,12,2,benzoic,c1ccccc1
Ac1094,CN(C)S(=O)(=O)c1cccc(C(=O)O)c1,229.257,15,3,benzoic,c1ccccc1
Ac1095,O=C(O)c1ccc(S(F)(F)(F)(F)F)cc1,248.172,15,2,benzoic,c1ccccc1
Ac1097,COc1ccc(C(=O)O)c(Cl)c1OC,216.62,14,3,benzoic,c1ccccc1
Ac1098,O=C(O)c1ccccc1Sc1ccccc1[N+](=O)[O-],275.285,19,4,benzoic,c1ccc(Sc2ccccc2)cc1
Ac1099,O=C(O)/C=C/c1cc(Cl)cc(Cl)c1,217.051,13,2,other,c1ccccc1
Ac1100,O=C(O)c1cccc(Cl)c1Br,235.464,11,1,benzoic,c1ccccc1
Ac1101,O=C(O)c1cccc(C(=O)CBr)c1,243.056,13,3,benzoic,c1ccccc1
Ac1103,COc1cc(C(=O)O)cc([N+](=O)[O-])c1OC,227.172,16,4,benzoic,c1ccccc1
Ac1105,CC(C)(C)[Si](OCCC(=O)O)(c1ccccc1)c1ccccc1,328.484,23,6,acyclic_ali,c1ccc([SiH2]c2ccccc2)cc1
Ac1106,C=C(C)C(=O)OCCCCCCOc1ccc(C(=O)O)cc1,306.358,22,10,benzoic,c1ccccc1
Ac1107,O=C(O)c1cc([N+](=O)[O-])c(F)c(F)c1F,221.09,15,2,benzoic,c1ccccc1
Ac1108,C=CC(=O)OCCCCOc1ccc(C(=O)O)cc1,264.277,19,8,benzoic,c1ccccc1
Ac1109,CS(=O)(=O)c1cc(Br)ccc1C(=O)O,279.111,14,2,benzoic,c1ccccc1
Ac1110,O=C(O)C1(c2ccc(Br)cc2)CCC1,255.111,14,2,alpha_quat,c1ccc(C2CCC2)cc1
Ac1111,Cc1c(F)cc(C(=O)O)cc1I,280.036,12,1,benzoic,c1ccccc1
Ac1112,CC(C)(C)OC(=O)N1CCc2ccc(C(=O)O)cc2C1,277.32,20,1,benzoic,c1ccc2c(c1)CCNC2
Ac1114,Cc1cc(Br)cnc1C(=O)O,216.034,11,1,heteroaryl,c1ccncc1
Ac1116,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,348.427,25,4,acyclic_ali,c1cncc(-c2cccc3ccccc23)c1
Ac1117,O=C(O)/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,351.206,24,3,other,c1ccc(-c2nc[nH]n2)cc1
Ac1119,O=C(O)c1ccncc1I,249.007,10,1,aryl_other,c1ccncc1
Ac1120,O=C(O)c1cc(-c2ccco2)nc2ccccc12,239.23,18,2,aryl_other,c1coc(-c2ccc3ccccc3n2)c1
Ac1121,O=C(O)c1cccnc1Oc1cccc(C(F)(F)F)c1,283.205,20,3,aryl_other,c1ccc(Oc2ccccn2)cc1
Ac1122,O=C(O)CCC1CCc2ccccc2C1=O,218.252,16,3,acyclic_ali,O=C1CCCc2ccccc21
Ac1124,O=C(O)c1cc(-c2ccc(Br)cc2)on1,268.066,15,2,heteroaryl,c1ccc(-c2ccno2)cc1
Ac1125,O=C(O)c1sc2cc(F)ccc2c1Cl,230.647,14,1,heteroaryl,c1ccc2sccc2c1
